COV #,VIN,Model,Model Name,Color,Plate #,Model Family,Demo or Display
41399,1HD1KEL16GB602303,FLHTK,Ultra Limited,MYS RED/VEL RED,,TOURING,DEMO
41400,1HD1KRM14GB602497,FLHXS,Street Glide Special,HC BLK GOLD FLK,,TOURING,DEMO
41401,1HD1KGL19GB607345,FLTRU,Road Glide Ultra,BIL SLVR/V BLK,F 41 41,TOURING,DEMO
41402,1HD1KTM1XGB600413,FLTRXS,Road Glide Special ,BLACK QUARTZ,,TOURING,DEMO
41403,1HD1LL317GC402204,XL1200T,Super Low 1200T,PRPLFR/BLKBY SM,,SPORTSTER,DEMO
41404,1HD1LF313GC404355,XL1200V,Seventy-Two,HC BLK GOLD FLK,,SPORTSTER,DEMO
41405,1HD1LC316GC400198,XL1200X,Forty-Eight,HCCANCUN BL FLK,,SPORTSTER,DEMO
41406,1HD4LE214GC401649,XL883N,Iron 883,OLIVE GOLD,,SPORTSTER,DEMO
41407,1HD1GZM16GC300205,FLD103,Switchback,BLACK,,DYNA,DEMO
41408,1HD1VAM14GC301098,FXDBP103,Street Bob,HC GOLD FLAKE,,DYNA,DEMO
41409,1HD1GYM15GC301887,FXDF103,Fat Bob,VELOCITY RED,,DYNA,DEMO
41410,1HD1GNM17GC301825,FXDL103,Low Rider,COSMIC BLUE PRL,,DYNA,DEMO
41411,1HD1GPM17GC301920,FXDWG103,Wide Glide,CHARCL STN FLM,,DYNA,DEMO
41412,1HD1JRV11GB010606,FLS103,Slim,BLACK DENIM,,SOFTAIL,DEMO
41413,1HD1BWV19GB011465,FLSTC103,Heritage Softail Classic,CR ICE/FRD TEAL,,SOFTAIL,DEMO
41414,,FLSTFBS,Fat Boy S,BLACK,,SOFTAIL,DEMO
41415,1HD1JDV11GB010964,FLSTN,Softail Deluxe,MYS RED/VEL RED,,SOFTAIL,DEMO
41416,1HD1BFV19GB010249,FXSB103,Breakout,BILLET SILVER,,SOFTAIL,DEMO
41417,1HD1FBM17GB607608,FLHR,Road King,DEEP JADE/BLK,,TOURING,DEMO
41418,1HD1KDM10GB605965,FLHTCUL,Ultra Classic Low,WHSKY/CHAR PRL,,TOURING,DEMO
41419,1HD1KEL17GB605646,FLHTK,Ultra Limited,BLACK QUARTZ,,TOURING,DEMO
41420,1HD1KBM16GB606168,FLHX,Street Glide,CRUSHED ICE PRL,,TOURING,DEMO
41421,1HD1KRM1XGB600706,FLHXS,Street Glide Special,CHARCOAL DENIM,,TOURING,DEMO
41422,1HD1KGL11GB607923,FLTRU,Road Glide Ultra,BIL SLVR/V BLK,,TOURING,DEMO
41423,1HD1KTM16GB602790,FLTRXS,Road Glide Special ,SUPERIOR BLUE,,TOURING,DEMO
41424,1HD1MCM13GB850411,FLRT,Trike Freewheeler,BLACK QUARTZ,,TRIKE,DEMO
41425,1HD1HHH12GC800136,VRSCDX,Night Rod Special,BLACK,,V-Rod,DEMO
41426,1HD1HPH1XGC800072,VRSCF,V-Rod Muscle,VELOCITY RED FLM,,V-Rod,DEMO
41427,1HD4NBB1XGC500145,XG750,Street 750,SUPERIOR BLUE,T 41 48,STREET,DEMO
41428,1HD1TEN10GB950351,FLHTKSE,CVO Limited,PAL SLV/PHN BLU,,TOURING,DEMO
41429,1HD1PXN18GB950114,FLHXSE,CVO Street Glide,BLK LIC/MDNTCBT,,TOURING,DEMO
41430,1HD1TAN15GB950127,FLTRUSE,CVO Road Glide Ultra,RBY RED/PAL SLV,,TOURING,DEMO
41431,1HD1LF317GC402639,XL1200V,Seventy-Two,HC BLK GOLD FLK,,SPORTSTER,DISPLAY
41432,1HD1LF317GC402253,XL1200V,Seventy-Two,HC BLK GOLD FLK,,SPORTSTER,DISPLAY
41433,1HD1LC31XGC401127,XL1200X,Forty-Eight,HCCANCUN BL FLK,,SPORTSTER,DISPLAY
41434,1HD1LC318GC401661,XL1200X,Forty-Eight,HCCANCUN BL FLK,,SPORTSTER,DISPLAY
41435,1HD4LE213GC401142,XL883N,Iron 883,HC GOLD FLAKE,,SPORTSTER,DISPLAY
41436,1HD4LE214GC401425,XL883N,Iron 883,HC GOLD FLAKE,,SPORTSTER,DISPLAY
41437,1HD1VAM12GC300953,FXDBP103,Street Bob,VELOCITY RED,,DYNA,DISPLAY
41438,1HD1VAM19GC300951,FXDBP103,Street Bob,BLACK QUARTZ,,DYNA,DISPLAY
41439,1HD1JRV12GB011019,FLS103,Slim,BLACK DENIM,,SOFTAIL,DISPLAY
41440,1HD1JRV16GB010925,FLS103,Slim,BLACK DENIM,,SOFTAIL,DISPLAY
41441,1HD1KRM1XGB606232,FLHXS,Street Glide Special,COSMIC BLUE PRL,,TOURING,DISPLAY
41442,1HD1KRM14GB601978,FLHXS,Street Glide Special,COSMIC BLUE PRL,,TOURING,DISPLAY
