COV #,VIN,Model,Model Name,Color,Plate #,Model Family,Demo or Display
40143,1HD1GNM10FC301003,FXDL103,Low Rider,WHT HOT/BLU HOT,R 41 29,DYNA,Demo
40146,1HD1GPM18FC300547,FXDWG103,Wide Glide,BLK QUARTZ FLM,T 41 26,DYNA,Demo
40152,1HD1BWV13FB010858,FLSTC103,Heritage Softail Classic,BRIL SILVER,T 41 36,SOFTAIL,Demo
40164,1HD1BFV13FB011511,FXSB103,Breakout,CHARCOAL PEARL,R 41 40,SOFTAIL,Demo
40171,1HD1FCM17FB606043,FLHTCU,Electra Glide Ultra Classic  ,BRIL SILVER,S 41 02,TOURING,Demo
40180,1HD1KEL12FB601857,FLHTK,Ultra Limited,DEEP JADE/BLK,S 41 35,TOURING,Demo
40187,1HD1KBM17FB605271,FLHX,Street Glide,CHARCOAL SATIN,T 41 27,TOURING,Demo
40189,1HD1KRM1XFB605385,FLHXS,Street Glide Special,CHARCOAL PEARL,T 41 42,TOURING,Demo
40195,1HD1KHM16FB600811,FLTRX,Road Glide,MYSTERIOUS RED,T 41 13,TOURING,Demo
40197,1HD1KTM11FB601030,FLTRXS,Road Glide Special,BLACK,S 41 88,TOURING,Demo
40206,1HD1MAL16FB850164,FLHTCUTG,Tri Glide Ultra Classic,BLACK MAGIC,R 41 44,TRIKE,Demo
40227,1HD1TEN19FB950363,FLHTKSE,CVO Limited,GLD RUSH/CARBON,S 41 04,CVO,Demo
40230,1HD1PXN18FB950712,FLHXSE,CVO Street Glide,SCRCH YLW/S BLK,R 41 19,CVO,Demo
40234,1HD1TF910FB950963,FLSTNSE,CVO Softail Deluxe,DK TUNG/BLK CRY,T 41 39,CVO,Demo
40238,1HD1TAN1XFB950106,FLTRUSE,CVO Road Glide Ultra,BURG/MAROON,P 41 83,CVO,Demo
40254,1HD1LH312FC402896,XL1200C,Sportster 1200 Custom,DEEP JADE PEARL,S 41 72,SPORTSTER,Demo
40255,1HD1LL31XFC401952,XL1200T,Super Low 1200T,SUPERIOR BLUE,S 41 19,SPORTSTER,Demo
40256,1HD1LF319FC401930,XL1200V,Seventy-Two,BLACK QUARTZ,R 41 73,SPORTSTER,Demo
40257,1HD1LC314FC401980,XL1200X,Forty-Eight,HCCANCUN BL FLK,S 41 06,SPORTSTER,Demo
40258,1HD4LE217FC402177,XL883N,Iron 883,BRIL SILVER,T 41 02,SPORTSTER,Demo
40259,1HD1GZM17FC300096,FLD103,Switchback,MYSTERIOUS RED,R 41 27,DYNA,Demo
40260,1HD1GXM1XFC302087,FXDB103,Street Bob,HC QUIKSLVR FLK,S 41 33,DYNA,Demo
40261,1HD1GYM18FC301882,FXDF103,Fat Bob,SAND CAMO DENIM,T 41 12,DYNA,Demo
40262,1HD1GNM14FC301666,FXDL103,Low Rider,AMBER WHISKEY,R 41 93,DYNA,Demo
40263,1HD1GPM19FC300394,FXDWG103,Wide Glide,BLACK DENIM FLM,S 41 36,DYNA,Demo
40264,1HD1JRV12FB011455,FLS103,Slim,CHARCOAL SATIN,T 41 43,SOFTAIL,Demo
40266,1HD1JNV11FC010459,FLSTFB,Fat Boy Lo,RADIOACTIVE GRN,S 41 70,SOFTAIL,Demo
40268,1HD1BFV11FB011507,FXSB103,Breakout,CHARCOAL PEARL,R 41 37,SOFTAIL,Demo
40269,1HD1FBM14FB602381,FLHR,Road King,DEEP JADE/BLK,P 41 80,TOURING,Demo
40270,1HD1KDM12FB603729,FLHTCUL,Electra Glide Ultra Classic Low,WHT HOT/BLU HOT,P 41 95,TOURING,Demo
40271,1HD1KEL13FB602709,FLHTK,Ultra Limited,WHSKY/V BLK,P 41 50,TOURING,Demo
40272,1HD1KKL18FB605314,FLHTKL,Ultra Limited Low,BLACK,R 41 26,TOURING,Demo
40273,1HD1KBM18FB606199,FLHX,Street Glide,RADIOACTIVE GRN,P 41 49,TOURING,Demo
40274,1HD1KRM16FB602001,FLHXS,Street Glide Special,BRIL SILVER,T 41 38,TOURING,Demo
40275,1HD1KHM11FB600411,FLTRX,Road Glide,BLACK DENIM,T 41 10,TOURING,Demo
40276,1HD1KTM16FB601105,FLTRXS,Road Glide Special,SUPERIOR BLUE,S 41 90,TOURING,Demo
40277,1HD1MCM18FB850578,FLRT,Freewheeler,AMBER WHISKEY,T 41 24,TRIKE,Demo
40280,1HD4NBB17FC503339,XG750,Street,MYSTERIOUS RED,S 41 44,STREET,Demo
40281,1HD1TEN1XFB950288,FLHTKSE,CVO Limited,PAL SLVR/MAROON,R 41 49,CVO,Demo
40282,1HD1PXN14FB950738,FLHXSE,CVO Street Glide,S BLK/GLD DUST,T 41 32,CVO,Demo
40283,1HD1TF919FB950931,FLSTNSE,CVO Softail Deluxe,DK TUNG/BLK CRY,P 41 31,CVO,Demo
40284,1HD1TAN19FB950484,FLTRUSE,CVO Road Glide Ultra,SAPPHRE/ABS BLU,S 41 58,CVO,Demo
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
